T1-4B25 jiǒu (灸)
T1-4B26 láo (牢)
T1-4B27 mǔ,mǒu (牡)
T1-4B28 tā,tuō (牠)
T1-4B29 dí (狄)
T1-4B2A kuáng (狂)
T1-4B2B jiǒu (玖)
T1-4B2C yǒng (甬)
T1-4B2D fǔ (甫)
T1-4B2E nán (男)
T1-4B2F diàn,tián (甸)
T1-4B30 zào (皂)
T1-4B31 dīng (盯)
T1-4B32 ǐ (矣)
T1-4B33 sī (私)
T1-4B34 xiòu (秀)
T1-4B35 tū (禿)
T1-4B36 jiòu,jiōu,guěi (究)
T1-4B37 xì (系)
T1-4B38 hǎn (罕)
T1-4B39 xiào (肖)
T1-4B3A huāng (肓)
T1-4B3B gān (肝)
T1-4B3C zhǒu (肘)
T1-4B3D gāng,hāng (肛)
T1-4B3E dù,dǔ (肚)
T1-4B3F ǜ (育)
T1-4B40 liáng (良)
T1-4B41 máng (芒)
T1-4B42 ǜ (芋)
T1-4B43 sháo,shuò,dì,xiào (芍)
T1-4B44 jiàn,xiàn (見)
T1-4B45 jiǎo,jüé,lù (角)
T1-4B46 ián,yín (言)
T1-4B47 gǔ,ǜ (谷)
T1-4B48 dòu (豆)
T1-4B49 shǐ (豕)
T1-4B4A bèi (貝)
T1-4B4B chì (赤)
T1-4B4C zǒu (走)
T1-4B4D zú,jǜ (足)
T1-4B4E shēn,jüān (身)
T1-4B4F chē,jǖ (車)
T1-4B50 xīn (辛)
T1-4B51 chén (辰)
T1-4B52 ǖ (迂)
T1-4B53 ǐ,í (迆)
T1-4B54 xǜn (迅)
T1-4B55 qì (迄)
T1-4B56 xǘn (巡)
T1-4B57 ì (邑)
T1-4B58 xíng (邢)
T1-4B59 xié,xiá,yé,ǘ,xǘ (邪)
T1-4B5A bāng (邦)
T1-4B5B nà,nèi,nǎ,něi,nā,nuó,iǒu (那)
T1-4B5C iǒu (酉)
T1-4B5D biàn (釆)
T1-4B5E lǐ (里)
T1-4B5F fáng (防)
T1-4B60 ruǎn (阮)
T1-4B61 jǐng (阱)
T1-4B62 bǎn (阪)
T1-4B63 kēng (阬)
T1-4B64 bìng,bàng (並)
T1-4B65 guāi (乖)
T1-4B66 rǔ (乳)
T1-4B67 shì (事)
T1-4B68 xiē,suò (些)
T1-4B69 ià,iǎ,iā (亞)
T1-4B6A xiǎng (享)
T1-4B6B jīng,üán (京)
T1-4B6C iáng (佯)
T1-4B6D ī (依)
T1-4B6E shì (侍)
T1-4B6F jiā (佳)
T1-4B70 shǐ,shì (使)
T1-4B71 lǎo (佬)
T1-4B72 gōng,gòng (供)
T1-4B73 lì (例)
T1-4B74 lái,lài (來)
T1-4B75 kǎn (侃)
T1-4B76 bǎi,bó,mò (佰)
T1-4B77 bìng (併)
T1-4B78 chǐ (侈)
T1-4B79 pèi (佩)
T1-4B7A tiáo,tiāo (佻)
T1-4B7B luén (侖)
T1-4B7C ì (佾)
T1-4B7D zhū (侏)
T1-4B7E iòu (侑)
T1-4C21 qüán (佺)
T1-4C22 tù (兔)
T1-4C23 ér,ní (兒)
T1-4C24 sì (兕)
T1-4C25 liǎng (兩)
T1-4C26 jǜ (具)
T1-4C27 qí,jī,jì (其)
T1-4C28 diǎn (典)
T1-4C29 liè (冽)
T1-4C2A hán (函)
T1-4C2B kè,kē (刻)
T1-4C2C qüàn (券)
T1-4C2D shuā,shuà (刷)
T1-4C2E cì (刺)
T1-4C2F dào (到)
T1-4C30 guā (刮)
T1-4C31 zhì (制)
T1-4C32 duò (剁)
T1-4C33 hé (劾)
T1-4C34 kuāng (劻)
T1-4C35 zú,cù (卒)
T1-4C36 xié (協)
T1-4C37 zhuó,zhuō (卓)
T1-4C38 bēi (卑)
T1-4C39 guà (卦)
T1-4C3A jüàn,jüǎn,qüán (卷)
T1-4C3B xiè (卸)
T1-4C3C xǜ (卹)
T1-4C3D qǚ (取)
T1-4C3E shú (叔)
T1-4C3F shòu (受)
T1-4C40 uèi (味)
T1-4C41 hē,ō (呵)
T1-4C42 kā (咖)
T1-4C43 pēi (呸)
T1-4C44 gū (咕)
T1-4C45 jǚ (咀)
T1-4C46 shēn (呻)
T1-4C47 xiá (呷)
T1-4C48 duò (咄)
T1-4C49 zhòu (咒)
T1-4C4A páo (咆)
T1-4C4B hū (呼)
T1-4C4C fù (咐)
T1-4C4D uā,gū,guā (呱)
T1-4C4E náo (呶)
T1-4C4F hé,huo,hè,huò,hàn,hú,dōng (和)
T1-4C50 dōng (咚)
T1-4C51 ní,ne (呢)
T1-4C52 zhōu (周)
T1-4C53 zhà,zé (咋)
T1-4C54 mìng (命)
T1-4C55 jiòu,gāo (咎)
T1-4C56 gù (固)
T1-4C57 lè (垃)
T1-4C58 kě (坷)
T1-4C59 píng (坪)
T1-4C5A gān (坩)
T1-4C5B pō (坡)
T1-4C5C tǎn (坦)
T1-4C5D kuēn (坤)
T1-4C5E chè (坼)
T1-4C5F yè (夜)
T1-4C60 fèng (奉)
T1-4C61 qí,jī (奇)
T1-4C62 nài (奈)
T1-4C63 iǎn,iān (奄)
T1-4C64 bēn,bèn (奔)
T1-4C65 qiè (妾)
T1-4C66 qī,qì (妻)
T1-4C67 uěi,uēi (委)
T1-4C68 mèi (妹)
T1-4C69 ní (妮)
T1-4C6A gū (姑)
T1-4C6B mǔ (姆)
T1-4C6C jiě (姐)
T1-4C6D shān,xiān (姍)
T1-4C6E shǐ,shì (始)
T1-4C6F xìng (姓)
T1-4C70 zǐ,jiě (姊)
T1-4C71 zhóu,zhú (妯)
T1-4C72 nǐ (妳)
T1-4C73 sì (姒)
T1-4C74 bàn (姅)
T1-4C75 mèng (孟)
T1-4C76 gū (孤)
T1-4C77 jì (季)
T1-4C78 zōng (宗)
T1-4C79 dìng (定)
T1-4C7A guān (官)
T1-4C7B í (宜)
T1-4C7C zhòu (宙)
T1-4C7D uǎn,üān (宛)
T1-4C7E shàng (尚)
T1-4D21 qǖ (屈)
T1-4D22 jǖ,jī (居)
T1-4D23 jiè (屆)
T1-4D24 mín (岷)
T1-4D25 gāng,gǎng (岡)
T1-4D26 àn (岸)
T1-4D27 ián (岩)
T1-4D28 xiòu (岫)
T1-4D29 dài (岱)
T1-4D2A yuè (岳)
T1-4D2B lián (帘)
T1-4D2C zhǒu (帚)
T1-4D2D tiē,tiě,tiè (帖)
T1-4D2E pà (帕)
T1-4D2F bó (帛)
T1-4D30 nú,tǎng (帑)
