T1-4D67 QUU (拙)
T1-4D68 QWYI (拇)
T1-4D69 QHA (拍)
T1-4D6A QHPM (抵)
T1-4D6B QIT (拚)
T1-4D6C QPRU (抱)
T1-4D6D QPR (拘)
T1-4D6E QOPD (拖)
T1-4D6F QVIS (拗)
T1-4D70 QHMY (拆)
T1-4D71 QIR (抬)
T1-4D72 QONI (拎)
T1-4D73 YSOK (放)
T1-4D74 CKHML (斧)
T1-4D75 YSOY (於)
T1-4D76 AMG (旺)
T1-4D77 TA (昔)
T1-4D78 APHH (易)
T1-4D79 AA (昌)
T1-4D7A APP (昆)
T1-4D7B AHUL (昂)
T1-4D7C AB (明)
T1-4D7D APMM (昀)
T1-4D7E HPA (昏)
T1-4E21 AHML (昕)
T1-4E22 AMK (昊)
T1-4E23 AHT (昇)
T1-4E24 BSLE (服)
T1-4E25 BB (朋)
T1-4E26 DYHN (杭)
T1-4E27 DYHS (枋)
T1-4E28 DHBU (枕)
T1-4E29 DW (東)
T1-4E2A WD (果)
T1-4E2B DA (杳)
T1-4E2C DAU (杷)
T1-4E2D DPP (枇)
T1-4E2E DJE (枝)
T1-4E2F DD (林)
T1-4E30 DMF (杯)
T1-4E31 DF (杰)
T1-4E32 DME (板)
T1-4E33 DMG (枉)
T1-4E34 DCI (松)
T1-4E35 DHML (析)
T1-4E36 DOJ (杵)
T1-4E37 DOK (枚)
T1-4E38 DYJ (枓)
T1-4E39 DNIN (杼)
T1-4E3A DFH (杪)
T1-4E3B AD (杲)
T1-4E3C HLNO (欣)
T1-4E3D MPYLM (武)
T1-4E3E YMJE (歧)
T1-4E3F MNNE (歿)
T1-4E40 YVRUP (氓)
T1-4E41 ONCSH (氛)
T1-4E42 EYT (泣)
T1-4E43 EYG (注)
T1-4E44 EINE (泳)
T1-4E45 EJP (沱)
T1-4E46 EPH (泌)
T1-4E47 ESP (泥)
T1-4E48 EMNR (河)
T1-4E49 EJR (沽)
T1-4E4A EYR (沾)
T1-4E4B ESHR (沼)
T1-4E4C EDHE (波)
T1-4E4D EDJ (沫)
T1-4E4E EGI (法)
T1-4E4F ENI (泓)
T1-4E50 ELLN (沸)
T1-4E51 EPT (泄)
T1-4E52 ELW (油)
T1-4E53 ERHU (況)
T1-4E54 EBM (沮)
T1-4E55 EWC (泗)
T1-4E56 EWO (泅)
T1-4E57 EKB (泱)
T1-4E58 ECR (沿)
T1-4E59 EIR (治)
T1-4E5A EPRU (泡)
T1-4E5B EHIO (泛)
T1-4E5C EHA (泊)
