FT2462	U+081C8	B8EF
FT2463	U+081E7	B8F7
FT2464	U+08229	B90F
FT2465	U+08240	B913
FT2466	U+08258	B914
FT2467	U+0825D	B919
FT2468	U+08268	B91C
FT2469	U+08271	B91E
FT2470	U+0827E	827E
FT2470	U+0827E	B91F
FT2471	U+082AC	B931
FT2472	U+082F3	B94C
FT2473	U+08393	B971
FT2474	U+082F9	B952
FT2475	U+082DE	B953
FT2476	U+0832B	B972
FT2477	U+0839A	B9BC
FT2478	U+083D8	B9BD
FT2479	U+083C1	B9A5
FT2480S	U+083F7	B9BE
FT2481	U+0840D	B9BA
FT2482	U+08420	B9A8
FT2483	U+08330	B969
FT2484	U+084CA	BA0B
FT2485	U+084B9	BA0C
FT2486	U+084BB	BA0D
FT2487	U+26C9E	B9BF
FT2488	U+084FC	BA2B
FT2489	U+08541	BA44
FT2490	U+08555	BA45
FT2491	U+08570	8570
FT2493S	U+08587	BA43
FT2494	U+085C9	BA7B
FT2501	U+085D5	BA81
FT2502	U+085F9	BA8C
FT2503	U+085F4	85F4
FT2504	U+0860B	BAA5
FT2505	U+085FE	BA98
FT2507	U+086A3	BAC0
FT2508	U+0868B	BAC1
FT2509	U+086AB	BAC3
FT2510	U+086DF	86DF
FT2510	U+086DF	BAC5
FT2511	U+08712	BACB
FT2512	U+08708	BACC
FT2513	U+08715	8715
FT2514	U+08711	BAC9
FT2515	U+08709	BACD
FT2516	U+08737	BAD7
FT2517	U+0873B	BAD2
FT2518	U+08729	BAD4
FT2519	U+0874E	BAD5
FT2520	U+08753	BADE
FT2521	U+08782	BADC
FT2522	U+087C0	BAE8
FT2523	U+0880D	BAEA
FT2524	U+08821	BAF4
FT2524	U+08821	C0D2
FT2525	U+08842	8842
FT2525	U+08842	BAF8
FT2526	U+08872	BB04
FT2527	U+088A2	BB08
FT2528	U+0888D	BB09
FT2529S	U+0891E	BB17
FT2530	U+0892A	BB15
FT2532	U+08936	BB22
FT2533	U+08974	BB2F
FT2535	U+08983	BB31
FT2536S	U+08988	BB34
FT2537	U+0898A	BB37
FT2538	U+089A9	BB3C
FT2539	U+089A6	BB3D
FT2540	U+089B2	BB3F
FT2542	U+08A25	BB53
FT2543	U+08A7C	BB5F
FT2544	U+08A84	BB60
FT2545	U+08AA8	BB61
FT2547	U+08A9A	BB69
FT2548	U+08ACD	BB6F
FT2550	U+08B14	BB7A
FT2551	U+08ADB	BB62
FT2552S	U+08B1A	BB85
FT2553	U+08AE1	BB7B
FT2554	U+08B4C	BB97
FT2555	U+08B74	BB99
FT2557	U+08C41	BBAC
FT2558	U+08C3F	BBAD
FT2559	U+08C55	BBAF
FT2560S	U+08C62	BBB5
FT2561S	U+08C6C	BBBB
FT2562	U+08CFA	BBD2
FT2563	U+08CFB	BBD3
FT2564	U+08D6D	BBE2
FT2565S	U+08D99	BBE8
FT2566	U+08E30	BBF8
FT2567	U+08E4A	BBFB
FT2568	U+08E48	BBFA
FT2569		BBFC
FT2570	U+08E72	BBEE
FT2571	U+08E87	BBFF
FT2572	U+08E91	BC04
FT2580	U+08F4C	BC23
FT2581		BC27
FT2582		BC28
FT2583	U+08FAD	BC2A
FT2584	U+08FB7	BC2B
FT2585	U+08FDA	BC3B
FT2586	U+08FE5	BC50
FT2587	U+08FE2	BC51
FT2589	U+09087	BD58
FT2589	U+09087	BD59
FT2590	U+08FF4	BC65
FT2591	U+09005	BC66
FT2592	U+08FF9	BC67
FT2593	U+08FFA	BC68
FT2594	U+09011	BC7E
FT2594	U+09011	BC90
FT2601	U+09015	BC7F
FT2602	U+09021	BC80
FT2603	U+0900D	BC91
FT2604	U+0901E	BC8C
FT2606	U+0900B	BC83
FT2607	U+09027	BC8E
FT2608	U+09036	BCA6
FT2609S	U+09035	BCA8
FT2610	U+09039	BCA4
FT2610	U+09039	BCA5
FT2611	U+08FF8	BC76
FT2612	U+0904F	BCB4
FT2613	U+09050	BCBF
FT2613	U+09050	BCD4
FT2614	U+09051	BCC0
FT2615	U+09052	BCD6
FT2616	U+0900E	BC92
FT2617	U+09049	BCC2
FT2618	U+0903E	BCD8
FT2619	U+09056	BCC4
FT2620	U+09058	BCEE
FT2621S	U+0905E	BCEF
FT2622S	U+09068	BD03
FT2622S	U+09068	BD12
FT2624	U+09076	BD1C
FT2625	U+096A8	BE83
FT2626	U+09072	BD1D
FT2627	U+09082	BD3B
FT2629	U+09081	BD26
FT2630S	U+09080	BD40
FT2630S	U+09080	BD41
FT2632	U+09089	BD4A
FT2632	U+09089	BD4B
FT2633	U+0908F	BD7A
FT2634	U+090A8	BD88
FT2635	U+090E2	BD94
FT2636	U+090DB	BD93
FT2637S	U+09130	BD9E
FT2637S	U+09130	BD9F
FT2638	U+09172	BDAC
FT2639	U+091AA	BDB3
FT2640	U+091B5	BDB4
FT2640	U+091B5	BDB5
FT2641	U+091BA	BDB6
FT2642	U+091DF	BDC0
FT2643	U+091FC	91FC
FT2643	U+091FC	BDC3
FT2645	U+09245	BDDB
FT2646	U+0924B	BDDC
FT2647	U+09293	BDE4
FT2648	U+092B7	BDF1
FT2649	U+0931A	BDFB
FT2650	U+0936E	BE13
FT2651S	U+093B0	BE1E
FT2652	U+093B9	BE09
FT2653	U+093D0	BE2D
FT2654	U+093C8	BE1F
FT2655	U+0945B	BE4A
FT2656		BE41
FT2659	U+095CD	BE61
FT2660	U+049A8	49A8
FT2660	U+049A8	BE62
FT2661	U+095E5	BE6A
FT2662	U+0965F	BE74
FT2663S	U+09698	BE7D
FT2664	U+096A7	BE85
FT2665	U+096B1	BE88
FT2666	U+096D5	BE91
FT2667S	U+096F9	BE9D
FT2668	U+09704	BEA1
