FT2188	U+0613D	[U+0613D U+E0103]
FT2190	U+06174	[U+06174 U+E0102]
FT2191	U+06165	[U+06165 U+E0103]
FT2192	U+061CA	[U+061CA U+E0102]
FT2193	U+061F6	[U+061F6 U+E0102]
FT2201	U+0622E	[U+0622E U+E0102]
FT2202	U+06233	[U+06233 U+E0102]
FT2204	U+062CC	[U+062CC U+E0103]
FT2205	U+06327	[U+06327 U+E0102]
FT2206	U+06308	[U+06308 U+E0103]
FT2207S	U+063BE	[U+063BE U+E0103]
FT2209	U+063C4	[U+063C4 U+E0102]
FT2210	U+06426	[U+06426 U+E0102]
FT2212	U+06428	[U+06428 U+E0103]
FT2213	U+0640F	[U+0640F U+E0103]
FT2214	U+0644E	[U+0644E U+E0102]
FT2216	U+064DA	[U+064DA U+E0102]
FT2217	U+064BB	[U+064BB U+E0102]
FT2218S	U+064EF	[U+064EF U+E0102]
FT2220	U+064F4	[U+064F4 U+E0102]
FT2221	U+064F2	[U+064F2 U+E0103]
FT2224	U+06524	[U+06524 U+E0102]
FT2226S	U+0655D	[U+0655D U+E0104]
FT2227S	U+065E1	[U+065E1 U+E0103]
FT2229	U+06667	[U+06667 U+E0103]
FT2231	U+066B9	[U+066B9 U+E0102]
FT2232S	U+066BC	[U+066BC U+E0102]
FT2233	U+066DA	[U+066DA U+E0103]
FT2237	U+066F7	[U+066F7 U+E0102]
FT2238	U+06726	[U+06726 U+E0103]
FT2239	U+0678C	[U+0678C U+E0102]
FT2240	U+067B9	[U+067B9 U+E0102]
FT2241	U+06829	[U+06829 U+E0102]
FT2243	U+0688F	[U+0688F U+E0102]
FT2245	U+06874	[U+06874 U+E0102]
FT2246	U+06926	[U+06926 U+E0102]
FT2247	U+06954	[U+06954 U+E0103]
FT2248	U+0696E	[U+0696E U+E0102]
FT2249S	U+0693D	[U+0693D U+E0103]
FT2250	U+06986	[U+06986 U+E0101]
FT2252	U+069BB	[U+069BB U+E0104]
FT2253	U+06991	[U+06991 U+E0102]
FT2254	U+06A1B	[U+06A1B U+E0102]
FT2255	U+069FF	[U+069FF U+E0102]
FT2257	U+06A14	[U+06A14 U+E0102]
FT2258	U+06AC2	[U+06AC2 U+E0102]
FT2259	U+06AB8	[U+06AB8 U+E0102]
FT2260S	U+06AB3	[U+06AB3 U+E0102]
FT2261	U+06AAC	[U+06AAC U+E0103]
FT2262	U+06ADE	[U+06ADE U+E0102]
FT2266	U+06B47	[U+06B47 U+E0102]
FT2267	U+06B49	[U+06B49 U+E0102]
FT2268	U+06B59	[U+06B59 U+E0102]
FT2269	U+06B54	[U+06B54 U+E0102]
FT2270	U+06B78	[U+06B78 U+E0102]
FT2271	U+06B8D	[U+06B8D U+E0102]
FT2272S	U+06BAF	[U+06BAF U+E0102]
FT2273S	U+06BD3	[U+06BD3 U+E0102]
FT2274S	U+09EBE	[U+09EBE U+E0102]
FT2275S	U+06C13	[U+06C13 U+E0103]
FT2276	U+06C1B	[U+06C1B U+E0102]
FT2277	U+06C7E	[U+06C7E U+E0102]
FT2278	U+06CD9	[U+06CD9 U+E0102]
FT2279	U+06D8E	[U+06D8E U+E0102]
FT2280	U+06DDE	[U+06DDE U+E0102]
FT2281	U+06DCC	[U+06DCC U+E0102]
FT2282	U+06DE8	[U+06DE8 U+E0102]
FT2283	U+06E72	[U+06E72 U+E0103]
FT2284	U+06E1D	[U+06E1D U+E0102]
FT2285	U+06EAA	[U+06EAA U+E0102]
FT2286	U+06EB2	[U+06EB2 U+E0103]
FT2287	U+06ED4	[U+06ED4 U+E0102]
FT2288	U+06ED5	[U+06ED5 U+E0104]
FT2289	U+06E8F	[U+06E8F U+E0102]
FT2290	U+06EA5	[U+06EA5 U+E0102]
FT2294	U+06F80	[U+06F80 U+E0102]
FT2301	U+06F6F	[U+06F6F U+E0102]
FT2302S	U+06F82	[U+06F82 U+E0102]
FT2304	U+06FB3	[U+06FB3 U+E0102]
FT2305	U+06FD8	[U+06FD8 U+E0102]
FT2306S	U+06FF1	[U+06FF1 U+E0102]
FT2307	U+06FDB	[U+06FDB U+E0103]
FT2308	U+07001	[U+07001 U+E0102]
FT2310	U+0701A	[U+0701A U+E0102]
FT2311	U+06F74	[U+06F74 U+E0103]
FT2313	U+240A3	[U+240A3 U+E0100]
FT2314	U+0703E	[U+0703E U+E0102]
FT2315	U+070AE	[U+070AE U+E0102]
FT2316S	U+07156	[U+07156 U+E0102]
FT2317S	U+242F1	[U+242F1 U+E0100]
FT2318	U+071FB	[U+071FB U+E0102]
FT2320	U+071E0	[U+071E0 U+E0102]
FT2321	U+071E7	[U+071E7 U+E0102]
FT2322	U+071F5	[U+071F5 U+E0102]
FT2324	U+0721B	[U+0721B U+E0102]
FT2325	U+07240	[U+07240 U+E0102]
FT2326	U+07246	[U+07246 U+E0102]
FT2328	U+0731C	[U+0731C U+E0103]
FT2329	U+09ED8	[U+09ED8 U+E0102]
FT2330	U+07370	[U+07370 U+E0102]
FT2331	U+0737A	[U+0737A U+E0102]
FT2332	U+0746F	[U+0746F U+E0102]
FT2333	U+0745C	[U+0745C U+E0102]
FT2334	U+07463	[U+07463 U+E0102]
FT2335	U+0747E	[U+0747E U+E0102]
FT2336	U+074EE	[U+074EE U+E0102]
FT2337	U+074F0	[U+074F0 U+E0102]
FT2339S	U+075B1	[U+075B1 U+E0102]
FT2340	U+075CA	[U+075CA U+E0102]
FT2341	U+07609	[U+07609 U+E0102]
FT2342	U+0761F	[U+0761F U+E0102]
FT2343	U+07627	[U+07627 U+E0102]
FT2346	U+07662	[U+07662 U+E0102]
FT2347	U+07669	[U+07669 U+E0103]
FT2349	U+07672	[U+07672 U+E0104]
FT2351S	U+076B0	[U+076B0 U+E0102]
FT2352	U+076FB	[U+076FB U+E0102]
FT2353	U+07737	[U+07737 U+E0103]
FT2354	U+0775B	[U+0775B U+E0102]
FT2355	U+07779	[U+07779 U+E0102]
FT2356	U+0778E	[U+0778E U+E0103]
FT2357	U+0778B	[U+0778B U+E0102]
FT2358	U+077C7	[U+077C7 U+E0103]
FT2359	U+07926	[U+07926 U+E0102]
FT2360S	U+0788C	[U+0788C U+E0102]
FT2361	U+078A3	[U+078A3 U+E0102]
FT2363	U+07907	[U+07907 U+E0102]
FT2365	U+07940	[U+07940 U+E0105]
FT2366	U+07960	[U+07960 U+E0102]
FT2367	U+07957	[U+07957 U+E0102]
FT2368	U+0795A	[U+0795A U+E0102]
FT2369	U+07955	[U+07955 U+E0102]
